,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
121,1959-02-28,25295.200383111835,0,1959,2,28,9,5,59,1,Winter,0.5000000000000001,-0.2225209339563146
122,1959-03-31,27135.600490882993,0,1959,3,31,14,1,90,1,Spring,6.123233995736766e-17,0.6234898018587336
123,1959-04-30,16267.50017170608,0,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
124,1959-05-31,11035.700204238296,0,1959,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
125,1959-06-30,8956.400127969682,0,1959,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
126,1959-07-31,2541.1000436991453,0,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
127,1959-08-31,2800.3000481948256,0,1959,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
128,1959-09-30,20208.000412896276,0,1959,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
129,1959-10-31,18922.200293459,0,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
130,1959-11-30,24264.300549037755,0,1959,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
131,1959-12-31,27130.300485387444,0,1959,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
132,1960-01-31,29407.90045414865,0,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
133,1960-02-29,32207.10052153468,0,1960,2,29,9,0,60,1,Winter,0.5000000000000001,1.0
134,1960-03-31,31843.800562739372,0,1960,3,31,13,3,91,1,Spring,6.123233995736766e-17,-0.900968867902419
135,1960-04-30,21015.00041948259,0,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
136,1960-05-31,23018.00042066723,0,1960,5,31,22,1,152,2,Spring,-0.8660254037844387,0.6234898018587336
137,1960-06-30,3819.1000799685717,0,1960,6,30,26,3,182,2,Summer,-1.0,-0.900968867902419
138,1960-07-31,231.1000036150217,0,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
139,1960-08-31,7689.100178346038,0,1960,8,31,35,2,244,3,Summer,-0.5000000000000004,-0.22252093395631434
140,1960-09-30,4360.800084680319,0,1960,9,30,39,4,274,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
141,1960-10-31,23036.300382874906,0,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
142,1960-11-30,45859.3007241413,0,1960,11,30,48,2,335,4,Fall,0.8660254037844384,-0.22252093395631434
143,1960-12-31,21900.500361077487,0,1960,12,31,52,5,366,4,Winter,1.0,-0.2225209339563146
144,1961-01-31,40601.60065920651,0,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
145,1961-02-28,59783.401161417365,0,1961,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
146,1961-03-31,39998.00078890473,0,1961,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
147,1961-04-30,15540.500242479146,0,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
148,1961-05-31,14567.700254172087,0,1961,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
149,1961-06-30,3631.20003349334,0,1961,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
150,1961-07-31,2132.5000514537096,0,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
151,1961-08-31,3981.4000793769956,0,1961,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
152,1961-09-30,6131.200127363205,0,1961,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
153,1961-10-31,25627.00037998706,0,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
154,1961-11-30,32114.00045542419,0,1961,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
155,1961-12-31,38174.20067230612,0,1961,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
156,1962-01-31,17683.80035994202,0,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
157,1962-02-28,18888.90039218217,0,1962,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
158,1962-03-31,26090.400363624096,0,1962,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
159,1962-04-30,18851.100233577192,0,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
160,1962-05-31,11377.400183007121,0,1962,5,31,22,3,151,2,Spring,-0.8660254037844387,-0.900968867902419
161,1962-06-30,5701.80007225275,0,1962,6,30,26,5,181,2,Summer,-1.0,-0.2225209339563146
162,1962-07-31,1406.700038060546,0,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
163,1962-08-31,8466.400176338851,0,1962,8,31,35,4,243,3,Summer,-0.5000000000000004,-0.9009688679024191
164,1962-09-30,9881.40017388016,0,1962,9,30,39,6,273,3,Fall,-1.8369701987210297e-16,0.6234898018587334
165,1962-10-31,25477.00041666627,0,1962,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
166,1962-11-30,46776.30072283745,0,1962,11,30,48,4,334,4,Fall,0.8660254037844384,-0.9009688679024191
167,1962-12-31,27365.60039488226,0,1962,12,31,1,0,365,4,Winter,1.0,1.0
168,1963-01-31,12766.5002701208,0,1963,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
169,1963-02-28,28604.70062403381,0,1963,2,28,9,3,59,1,Winter,0.5000000000000001,-0.900968867902419
170,1963-03-31,24406.300397649407,0,1963,3,31,13,6,90,1,Spring,6.123233995736766e-17,0.6234898018587334
171,1963-04-30,22485.600358754396,0,1963,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
172,1963-05-31,13722.300295770168,0,1963,5,31,22,4,151,2,Spring,-0.8660254037844387,-0.9009688679024191
173,1963-06-30,7731.900113455951,0,1963,6,30,26,6,181,2,Summer,-1.0,0.6234898018587334
174,1963-07-31,7252.500141903758,0,1963,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
175,1963-08-31,3496.900056257844,0,1963,8,31,35,5,243,3,Summer,-0.5000000000000004,-0.2225209339563146
176,1963-09-30,6718.200131975114,0,1963,9,30,40,0,273,3,Fall,-1.8369701987210297e-16,1.0
177,1963-10-31,26949.50035814941,0,1963,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
178,1963-11-30,44871.000656209886,0,1963,11,30,48,5,334,4,Fall,0.8660254037844384,-0.2225209339563146
179,1963-12-31,27447.000500753522,0,1963,12,31,1,1,365,4,Winter,1.0,0.6234898018587336
180,1964-01-31,58567.10107001662,0,1964,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
181,1964-02-29,13597.600170344114,0,1964,2,29,9,5,60,1,Winter,0.5000000000000001,-0.2225209339563146
182,1964-03-31,28010.800445333123,0,1964,3,31,14,1,91,1,Spring,6.123233995736766e-17,0.6234898018587336
183,1964-04-30,12122.200196295977,0,1964,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
184,1964-05-31,7390.20013782382,0,1964,5,31,22,6,152,2,Spring,-0.8660254037844387,0.6234898018587334
185,1964-06-30,10671.00021506846,0,1964,6,30,27,1,182,2,Summer,-1.0,0.6234898018587336
186,1964-07-31,6840.400143310428,0,1964,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
187,1964-08-31,6679.900127336383,0,1964,8,31,36,0,244,3,Summer,-0.5000000000000004,1.0
188,1964-09-30,9270.300174303353,0,1964,9,30,40,2,274,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
189,1964-10-31,9958.90018901974,0,1964,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
190,1964-11-30,38685.40069600195,0,1964,11,30,49,0,335,4,Fall,0.8660254037844384,1.0
191,1964-12-31,54757.9009623453,0,1964,12,31,53,3,366,4,Winter,1.0,-0.900968867902419
192,1965-01-31,49923.100871004164,0,1965,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
193,1965-02-28,23815.50038060546,0,1965,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
194,1965-03-31,5138.900081396103,0,1965,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
195,1965-04-30,16819.200259774923,0,1965,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
196,1965-05-31,9818.100216008723,0,1965,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
197,1965-06-30,2583.900042191148,0,1965,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
198,1965-07-31,1459.4000263512135,0,1965,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
199,1965-08-31,6747.30013936758,0,1965,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
200,1965-09-30,2195.700033277273,0,1965,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
201,1965-10-31,15897.200306512415,0,1965,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
202,1965-11-30,35072.80065339804,0,1965,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
203,1965-12-31,41111.400709070265,0,1965,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
204,1966-01-31,43833.300759881735,0,1966,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
205,1966-02-28,18582.100246027112,0,1966,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
206,1966-03-31,34604.40074661374,0,1966,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
