,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
141,1961-01-31,2,2.1838100941647145,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
142,1961-01-31,0,6.925822410068434,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
143,1961-01-31,1,0.9009661984900377,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
144,1961-04-30,0,1.0253077106304698,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
145,1961-04-30,1,0.12204068495846099,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
146,1961-04-30,2,0.14371980899767722,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
147,1961-07-31,1,-0.8235302297804831,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
148,1961-07-31,2,-2.4593376811493366,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
149,1961-07-31,0,-9.345723722474151,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
150,1961-10-31,1,-0.002281266718030972,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
151,1961-10-31,2,-0.007522886875778179,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
152,1961-10-31,0,1.4563516302087074,1961,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
153,1962-01-31,1,0.7363660896643877,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
154,1962-01-31,0,4.936899896119572,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
155,1962-01-31,2,1.8513730275806985,1962,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
156,1962-04-30,0,-2.078451223826553,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
157,1962-04-30,1,-0.14388792689938223,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
