,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
262,1968-04-30,0.3838820370647479,1,1968,4,30,18,1,121,2,Spring,-0.4999999999999998,0.6234898018587336
263,1968-07-31,0.26975309145419396,1,1968,7,31,31,2,213,3,Summer,-0.8660254037844388,-0.22252093395631434
264,1968-10-31,0.4064412299319662,1,1968,10,31,44,3,305,4,Fall,0.5000000000000001,-0.900968867902419
265,1969-01-31,0.9517713517282544,1,1969,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
266,1969-04-30,0.39650437547435774,1,1969,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
267,1969-07-31,0.42690553649224167,1,1969,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
268,1969-10-31,0.19943639687529924,1,1969,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
269,1970-01-31,0.7867820858475475,1,1970,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
270,1970-04-30,0.4003051802627603,1,1970,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
271,1970-07-31,0.4178609844113206,1,1970,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
272,1970-10-31,0.2814814861867851,1,1970,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
273,1971-01-31,0.7785292681720521,1,1971,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
274,1971-04-30,0.4770287207753719,1,1971,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
275,1971-07-31,0.42709340470764534,1,1971,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
276,1971-10-31,0.27071927470553486,1,1971,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
277,1972-01-31,0.7797906714733001,1,1972,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
278,1972-04-30,0.5130452772145082,1,1972,4,30,17,6,121,2,Spring,-0.4999999999999998,0.6234898018587334
279,1972-07-31,0.2941358074509867,1,1972,7,31,31,0,213,3,Summer,-0.8660254037844388,1.0
280,1972-10-31,0.24990606960259135,1,1972,10,31,44,1,305,4,Fall,0.5000000000000001,0.6234898018587336
281,1973-01-31,0.5912641007773142,1,1973,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
